area,relative_size,predicted_iou,stability_score,bbox_w,bbox_h,aspect_ratio,image,size_bin
728686,0.33735462962962964,0.99609375,0.9607572555541992,1799.0,580.0,3.1017241379310345,truck,"Large
(>10%)"
51668,0.02392037037037037,0.9921875,0.9791091084480286,178.0,300.0,0.5933333333333334,truck,"Medium
(1-10%)"
643171,0.29776435185185185,0.9921875,0.9396203756332397,1626.0,572.0,2.8426573426573425,truck,"Large
(>10%)"
8886,0.004113888888888889,0.984375,0.9743474721908569,211.0,42.0,5.023809523809524,truck,"Small
(0.1-1%)"
27175,0.01258101851851852,0.984375,0.9765163064002991,176.0,218.0,0.8073394495412844,truck,"Medium
(1-10%)"
39605,0.01833564814814815,0.984375,0.9635310769081116,379.0,215.0,1.7627906976744185,truck,"Medium
(1-10%)"
13162,0.006093518518518519,0.984375,0.9702162742614746,126.0,131.0,0.9618320610687023,truck,"Small
(0.1-1%)"
42335,0.019599537037037037,0.984375,0.9663051962852478,232.0,226.0,1.0265486725663717,truck,"Medium
(1-10%)"
14297,0.006618981481481482,0.984375,0.9780577421188354,133.0,135.0,0.9851851851851852,truck,"Small
(0.1-1%)"
39343,0.018214351851851853,0.984375,0.9705573320388794,224.0,215.0,1.041860465116279,truck,"Medium
(1-10%)"
20025,0.009270833333333334,0.98046875,0.9800968170166016,71.0,305.0,0.23278688524590163,truck,"Small
(0.1-1%)"
24326,0.011262037037037037,0.98046875,0.9723877906799316,203.0,134.0,1.5149253731343284,truck,"Medium
(1-10%)"
30644,0.014187037037037036,0.98046875,0.9622593522071838,296.0,133.0,2.225563909774436,truck,"Medium
(1-10%)"
5000,0.0023148148148148147,0.98046875,0.9815549254417419,59.0,107.0,0.5514018691588785,truck,"Small
(0.1-1%)"
77858,0.03604537037037037,0.98046875,0.9234815239906311,384.0,275.0,1.3963636363636365,truck,"Medium
(1-10%)"
27268,0.012624074074074074,0.9765625,0.9663950204849243,179.0,343.0,0.521865889212828,truck,"Medium
(1-10%)"
5077,0.002350462962962963,0.97265625,0.9757798910140991,73.0,70.0,1.042857142857143,truck,"Small
(0.1-1%)"
47070,0.021791666666666668,0.97265625,0.9643282294273376,395.0,143.0,2.762237762237762,truck,"Medium
(1-10%)"
47220,0.021861111111111112,0.97265625,0.9572734236717224,620.0,143.0,4.335664335664336,truck,"Medium
(1-10%)"
3597,0.0016652777777777777,0.96875,0.9765646457672119,60.0,62.0,0.967741935483871,truck,"Small
(0.1-1%)"
3431,0.0015884259259259259,0.96875,0.9837962985038757,88.0,42.0,2.0952380952380953,truck,"Small
(0.1-1%)"
51598,0.02388796296296296,0.96484375,0.9618790745735168,296.0,299.0,0.9899665551839465,truck,"Medium
(1-10%)"
4257,0.001970833333333333,0.96484375,0.9458598494529724,33.0,148.0,0.22297297297297297,truck,"Small
(0.1-1%)"
22865,0.010585648148148148,0.96484375,0.9607683420181274,201.0,124.0,1.6209677419354838,truck,"Medium
(1-10%)"
3038,0.0014064814814814814,0.96484375,0.9596383571624756,59.0,55.0,1.0727272727272728,truck,"Small
(0.1-1%)"
6604,0.0030574074074074076,0.96484375,0.966895341873169,161.0,65.0,2.476923076923077,truck,"Small
(0.1-1%)"
4232,0.001959259259259259,0.9609375,0.9637580513954163,128.0,34.0,3.764705882352941,truck,"Small
(0.1-1%)"
13887,0.006429166666666666,0.9609375,0.9225929975509644,149.0,195.0,0.764102564102564,truck,"Small
(0.1-1%)"
8847,0.004095833333333333,0.95703125,0.9576131105422974,211.0,105.0,2.0095238095238095,truck,"Small
(0.1-1%)"
4255,0.001969907407407407,0.95703125,0.9640055298805237,35.0,148.0,0.23648648648648649,truck,"Small
(0.1-1%)"
13893,0.006431944444444444,0.95703125,0.9212544560432434,149.0,134.0,1.1119402985074627,truck,"Small
(0.1-1%)"
17330,0.008023148148148147,0.953125,0.9594770669937134,342.0,59.0,5.796610169491525,truck,"Small
(0.1-1%)"
